date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:59	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Dec%202023%2004:34:52%20GMT	https://demo-joomla.chipblue.net/robots.txt		(from )
11:35:02	36392/36392	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202023%2004:34:52%20GMT	https://demo-joomla.chipblue.net/elito/	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/index.html	(from )
11:35:07	737/737	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2008%20Dec%202023%2004:35:01%20GMT	https://demo-joomla.chipblue.net/elito/index.php?format=feed&type=rss	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/indexc0d0.php	(from https://demo-joomla.chipblue.net/elito/)
11:35:11	771/771	---MC-	200	added ('OK')	application/atom+xml	date:Fri,%2008%20Dec%202023%2004:35:03%20GMT	https://demo-joomla.chipblue.net/elito/index.php?format=feed&type=atom	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/index7b17.php	(from https://demo-joomla.chipblue.net/elito/)
11:35:14	1488/1488	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2006%20Nov%202022%2023:48:58%20GMT	https://demo-joomla.chipblue.net/elito/media/system/images/joomla-favicon.svg	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/media/system/images/joomla-favicon.svg	(from https://demo-joomla.chipblue.net/elito/)
11:35:17	2019/2019	---M--	200	added ('OK')	image/x-icon	date:Sun,%2006%20Nov%202022%2023:48:58%20GMT	https://demo-joomla.chipblue.net/elito/media/system/images/favicon.ico	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/media/system/images/favicon.ico	(from https://demo-joomla.chipblue.net/elito/)
11:35:20	1304/1304	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2006%20Nov%202022%2023:48:58%20GMT	https://demo-joomla.chipblue.net/elito/media/system/images/joomla-favicon-pinned.svg	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/media/system/images/joomla-favicon-pinned.svg	(from https://demo-joomla.chipblue.net/elito/)
11:35:24	3964/3964	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Nov%202022%2023:52:02%20GMT	https://demo-joomla.chipblue.net/elito/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from https://demo-joomla.chipblue.net/elito/)
11:35:27	8234/8234	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Nov%202022%2017:16:36%20GMT	https://demo-joomla.chipblue.net/elito/plugins/system/jce/css/content.css?badb4208be409b1335b815dde676300e	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/plugins/system/jce/css/contentd666.css	(from https://demo-joomla.chipblue.net/elito/)
11:35:29	7669/7669	---M--	200	added ('OK')	application/javascript	date:Sun,%2006%20Nov%202022%2023:52:44%20GMT	https://demo-joomla.chipblue.net/elito/media/system/js/core.min.js?bea7b244e267b04087cedcf531f6fe827a8e101f	D:/CyberCam/Portfolio/demo-joomla.chipblue.net/elito/media/system/js/core.minf3a0.js	(from https://demo-joomla.chipblue.net/elito/)
